[2025-12-03T15:56:50.419Z] Starting NASB1995 cleanup (v3)...
[2025-12-03T15:56:50.426Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:56:50.439Z] Starting Bible text cleanup...
[2025-12-03T15:56:50.446Z] Found book: GENESIS
[2025-12-03T15:56:50.517Z] Found book: JOSHUA
[2025-12-03T15:56:50.517Z] Found chapter: 1
[2025-12-03T15:56:50.517Z] Found chapter: 2
[2025-12-03T15:56:50.518Z] Found chapter: 3
[2025-12-03T15:56:50.518Z] Found chapter: 4
[2025-12-03T15:56:50.519Z] Found chapter: 5
[2025-12-03T15:56:50.519Z] Found chapter: 6
[2025-12-03T15:56:50.519Z] Found chapter: 7
[2025-12-03T15:56:50.520Z] Found chapter: 8
[2025-12-03T15:56:50.520Z] Found chapter: 9
[2025-12-03T15:56:50.520Z] Found chapter: 10
[2025-12-03T15:56:50.521Z] Found chapter: 11
[2025-12-03T15:56:50.521Z] Found chapter: 12
[2025-12-03T15:56:50.521Z] Found chapter: 13
[2025-12-03T15:56:50.522Z] Found chapter: 14
[2025-12-03T15:56:50.522Z] Found chapter: 15
[2025-12-03T15:56:50.522Z] Found chapter: 16
[2025-12-03T15:56:50.523Z] Found chapter: 17
[2025-12-03T15:56:50.523Z] Found chapter: 18
[2025-12-03T15:56:50.523Z] Found chapter: 19
[2025-12-03T15:56:50.523Z] Found chapter: 20
[2025-12-03T15:56:50.524Z] Found chapter: 21
[2025-12-03T15:56:50.524Z] Found chapter: 22
[2025-12-03T15:56:50.524Z] Found chapter: 23
[2025-12-03T15:56:50.525Z] Found chapter: 24
[2025-12-03T15:56:50.525Z] Found book: End of JOSHUA
[2025-12-03T15:56:50.525Z] Found book: JUDGES
[2025-12-03T15:56:50.525Z] Found chapter: 1
[2025-12-03T15:56:50.526Z] Found chapter: 2
[2025-12-03T15:56:50.526Z] Found chapter: 3
[2025-12-03T15:56:50.526Z] Found chapter: 4
[2025-12-03T15:56:50.527Z] Found chapter: 5
[2025-12-03T15:56:50.527Z] Found chapter: 6
[2025-12-03T15:56:50.527Z] Found chapter: 7
[2025-12-03T15:56:50.528Z] Found chapter: 8
[2025-12-03T15:56:50.528Z] Found chapter: 9
[2025-12-03T15:56:50.528Z] Found chapter: 10
[2025-12-03T15:56:50.529Z] Found chapter: 11
[2025-12-03T15:56:50.529Z] Found chapter: 12
[2025-12-03T15:56:50.529Z] Found chapter: 13
[2025-12-03T15:56:50.529Z] Found chapter: 14
[2025-12-03T15:56:50.530Z] Found chapter: 15
[2025-12-03T15:56:50.530Z] Found chapter: 16
[2025-12-03T15:56:50.530Z] Found chapter: 17
[2025-12-03T15:56:50.531Z] Found chapter: 18
[2025-12-03T15:56:50.531Z] Found chapter: 19
[2025-12-03T15:56:50.531Z] Found chapter: 20
[2025-12-03T15:56:50.532Z] Found chapter: 21
[2025-12-03T15:56:50.532Z] Found book: End of JUDGES
[2025-12-03T15:56:50.532Z] Found book: RUTH
[2025-12-03T15:56:50.533Z] Found chapter: 1
[2025-12-03T15:56:50.533Z] Found chapter: 2
[2025-12-03T15:56:50.533Z] Found chapter: 3
[2025-12-03T15:56:50.534Z] Found chapter: 4
[2025-12-03T15:56:50.534Z] Found book: End of RUTH
[2025-12-03T15:56:50.534Z] Found book: 1 SAMUEL
[2025-12-03T15:56:50.534Z] Found chapter: 1
[2025-12-03T15:56:50.535Z] Found chapter: 2
[2025-12-03T15:56:50.535Z] Found chapter: 3
[2025-12-03T15:56:50.535Z] Found chapter: 4
[2025-12-03T15:56:50.536Z] Found chapter: 5
[2025-12-03T15:56:50.536Z] Found chapter: 6
[2025-12-03T15:56:50.536Z] Found chapter: 7
[2025-12-03T15:56:50.537Z] Found chapter: 8
[2025-12-03T15:56:50.537Z] Found chapter: 9
[2025-12-03T15:56:50.537Z] Found chapter: 10
[2025-12-03T15:56:50.537Z] Found chapter: 11
[2025-12-03T15:56:50.538Z] Found chapter: 12
[2025-12-03T15:56:50.538Z] Found chapter: 13
[2025-12-03T15:56:50.538Z] Found chapter: 14
[2025-12-03T15:56:50.539Z] Found chapter: 15
[2025-12-03T15:56:50.539Z] Found chapter: 16
[2025-12-03T15:56:50.539Z] Found chapter: 17
[2025-12-03T15:56:50.540Z] Found chapter: 18
[2025-12-03T15:56:50.540Z] Found chapter: 19
[2025-12-03T15:56:50.540Z] Found chapter: 20
[2025-12-03T15:56:50.541Z] Found chapter: 21
[2025-12-03T15:56:50.541Z] Found chapter: 22
[2025-12-03T15:56:50.541Z] Found chapter: 23
[2025-12-03T15:56:50.541Z] Found chapter: 24
[2025-12-03T15:56:50.542Z] Found chapter: 25
[2025-12-03T15:56:50.542Z] Found chapter: 26
[2025-12-03T15:56:50.542Z] Found chapter: 27
[2025-12-03T15:56:50.543Z] Found chapter: 28
[2025-12-03T15:56:50.543Z] Found chapter: 29
[2025-12-03T15:56:50.543Z] Found chapter: 30
[2025-12-03T15:56:50.543Z] Found chapter: 31
[2025-12-03T15:56:50.544Z] Found book: End of 1 SAMUEL
[2025-12-03T15:56:50.544Z] Found book: 2 SAMUEL
[2025-12-03T15:56:50.544Z] Found chapter: 1
[2025-12-03T15:56:50.545Z] Found chapter: 2
[2025-12-03T15:56:50.545Z] Found chapter: 3
[2025-12-03T15:56:50.545Z] Found chapter: 4
[2025-12-03T15:56:50.546Z] Found chapter: 5
[2025-12-03T15:56:50.546Z] Found chapter: 6
[2025-12-03T15:56:50.547Z] Found chapter: 7
[2025-12-03T15:56:50.547Z] Found chapter: 8
[2025-12-03T15:56:50.547Z] Found chapter: 9
[2025-12-03T15:56:50.548Z] Found chapter: 10
[2025-12-03T15:56:50.548Z] Found chapter: 11
[2025-12-03T15:56:50.548Z] Found chapter: 12
[2025-12-03T15:56:50.549Z] Found chapter: 13
[2025-12-03T15:56:50.549Z] Found chapter: 14
[2025-12-03T15:56:50.550Z] Found chapter: 15
[2025-12-03T15:56:50.550Z] Found chapter: 16
[2025-12-03T15:56:50.550Z] Found chapter: 17
[2025-12-03T15:56:50.551Z] Found chapter: 18
[2025-12-03T15:56:50.551Z] Found chapter: 19
[2025-12-03T15:56:50.551Z] Found chapter: 20
[2025-12-03T15:56:50.552Z] Found chapter: 21
[2025-12-03T15:56:50.552Z] Found chapter: 22
[2025-12-03T15:56:50.552Z] Found chapter: 23
[2025-12-03T15:56:50.553Z] Found chapter: 24
[2025-12-03T15:56:50.553Z] Found book: End of 2 SAMUEL
[2025-12-03T15:56:50.553Z] Found book: 1 KINGS
[2025-12-03T15:56:50.554Z] Found chapter: 1
[2025-12-03T15:56:50.554Z] Found chapter: 2
[2025-12-03T15:56:50.554Z] Found chapter: 3
[2025-12-03T15:56:50.555Z] Found chapter: 4
[2025-12-03T15:56:50.555Z] Found chapter: 5
[2025-12-03T15:56:50.555Z] Found chapter: 6
[2025-12-03T15:56:50.556Z] Found chapter: 7
