[2025-12-03T15:58:41.828Z] Starting NASB1995 cleanup (v4)...
[2025-12-03T15:58:41.835Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:58:41.853Z] Starting Bible text cleanup...
[2025-12-03T15:58:41.860Z] Found book: GENESIS
[2025-12-03T15:58:41.937Z] Found chapter: 18
[2025-12-03T15:58:41.938Z] Found chapter: 19
[2025-12-03T15:58:41.938Z] Found chapter: 20
[2025-12-03T15:58:41.938Z] Found chapter: 21
[2025-12-03T15:58:41.939Z] Found chapter: 22
[2025-12-03T15:58:41.939Z] Found chapter: 23
[2025-12-03T15:58:41.939Z] Found chapter: 24
[2025-12-03T15:58:41.939Z] Found book: End of JOSHUA
[2025-12-03T15:58:41.940Z] Found book: JUDGES
[2025-12-03T15:58:41.940Z] Found chapter: 1
[2025-12-03T15:58:41.940Z] Found chapter: 2
[2025-12-03T15:58:41.941Z] Found chapter: 3
[2025-12-03T15:58:41.941Z] Found chapter: 4
[2025-12-03T15:58:41.941Z] Found chapter: 5
[2025-12-03T15:58:41.942Z] Found chapter: 6
[2025-12-03T15:58:41.942Z] Found chapter: 7
[2025-12-03T15:58:41.942Z] Found chapter: 8
[2025-12-03T15:58:41.942Z] Found chapter: 9
[2025-12-03T15:58:41.943Z] Found chapter: 10
[2025-12-03T15:58:41.943Z] Found chapter: 11
[2025-12-03T15:58:41.943Z] Found chapter: 12
[2025-12-03T15:58:41.944Z] Found chapter: 13
[2025-12-03T15:58:41.944Z] Found chapter: 14
[2025-12-03T15:58:41.944Z] Found chapter: 15
[2025-12-03T15:58:41.945Z] Found chapter: 16
[2025-12-03T15:58:41.945Z] Found chapter: 17
[2025-12-03T15:58:41.945Z] Found chapter: 18
[2025-12-03T15:58:41.946Z] Found chapter: 19
[2025-12-03T15:58:41.946Z] Found chapter: 20
[2025-12-03T15:58:41.946Z] Found chapter: 21
[2025-12-03T15:58:41.947Z] Found book: End of JUDGES
[2025-12-03T15:58:41.947Z] Found book: RUTH
[2025-12-03T15:58:41.947Z] Found chapter: 1
[2025-12-03T15:58:41.948Z] Found chapter: 2
[2025-12-03T15:58:41.948Z] Found chapter: 3
[2025-12-03T15:58:41.948Z] Found chapter: 4
[2025-12-03T15:58:41.949Z] Found book: End of RUTH
[2025-12-03T15:58:41.949Z] Found book: 1 SAMUEL
[2025-12-03T15:58:41.949Z] Found chapter: 1
[2025-12-03T15:58:41.950Z] Found chapter: 2
[2025-12-03T15:58:41.950Z] Found chapter: 3
[2025-12-03T15:58:41.950Z] Found chapter: 4
[2025-12-03T15:58:41.951Z] Found chapter: 5
[2025-12-03T15:58:41.951Z] Found chapter: 6
[2025-12-03T15:58:41.951Z] Found chapter: 7
[2025-12-03T15:58:41.952Z] Found chapter: 8
[2025-12-03T15:58:41.952Z] Found chapter: 9
[2025-12-03T15:58:41.952Z] Found chapter: 10
[2025-12-03T15:58:41.953Z] Found chapter: 11
[2025-12-03T15:58:41.953Z] Found chapter: 12
[2025-12-03T15:58:41.953Z] Found chapter: 13
[2025-12-03T15:58:41.954Z] Found chapter: 14
[2025-12-03T15:58:41.954Z] Found chapter: 15
[2025-12-03T15:58:41.954Z] Found chapter: 16
[2025-12-03T15:58:41.954Z] Found chapter: 17
[2025-12-03T15:58:41.955Z] Found chapter: 18
[2025-12-03T15:58:41.955Z] Found chapter: 19
[2025-12-03T15:58:41.955Z] Found chapter: 20
[2025-12-03T15:58:41.956Z] Found chapter: 21
[2025-12-03T15:58:41.956Z] Found chapter: 22
[2025-12-03T15:58:41.956Z] Found chapter: 23
[2025-12-03T15:58:41.957Z] Found chapter: 24
[2025-12-03T15:58:41.957Z] Found chapter: 25
[2025-12-03T15:58:41.957Z] Found chapter: 26
[2025-12-03T15:58:41.958Z] Found chapter: 27
[2025-12-03T15:58:41.958Z] Found chapter: 28
[2025-12-03T15:58:41.958Z] Found chapter: 29
[2025-12-03T15:58:41.959Z] Found chapter: 30
[2025-12-03T15:58:41.959Z] Found chapter: 31
[2025-12-03T15:58:41.959Z] Found book: End of 1 SAMUEL
[2025-12-03T15:58:41.959Z] Found book: 2 SAMUEL
[2025-12-03T15:58:41.960Z] Found chapter: 1
[2025-12-03T15:58:41.960Z] Found chapter: 2
[2025-12-03T15:58:41.961Z] Found chapter: 3
[2025-12-03T15:58:41.961Z] Found chapter: 4
[2025-12-03T15:58:41.961Z] Found chapter: 5
[2025-12-03T15:58:41.962Z] Found chapter: 6
[2025-12-03T15:58:41.962Z] Found chapter: 7
[2025-12-03T15:58:41.962Z] Found chapter: 8
[2025-12-03T15:58:41.963Z] Found chapter: 9
[2025-12-03T15:58:41.963Z] Found chapter: 10
[2025-12-03T15:58:41.963Z] Found chapter: 11
[2025-12-03T15:58:41.964Z] Found chapter: 12
[2025-12-03T15:58:41.964Z] Found chapter: 13
[2025-12-03T15:58:41.964Z] Found chapter: 14
[2025-12-03T15:58:41.965Z] Found chapter: 15
[2025-12-03T15:58:41.965Z] Found chapter: 16
[2025-12-03T15:58:41.965Z] Found chapter: 17
[2025-12-03T15:58:41.966Z] Found chapter: 18
[2025-12-03T15:58:41.966Z] Found chapter: 19
[2025-12-03T15:58:41.966Z] Found chapter: 20
[2025-12-03T15:58:41.967Z] Found chapter: 21
[2025-12-03T15:58:41.967Z] Found chapter: 22
[2025-12-03T15:58:41.967Z] Found chapter: 23
[2025-12-03T15:58:41.968Z] Found chapter: 24
[2025-12-03T15:58:41.968Z] Found book: End of 2 SAMUEL
[2025-12-03T15:58:41.968Z] Found book: 1 KINGS
[2025-12-03T15:58:41.969Z] Found chapter: 1
[2025-12-03T15:58:41.969Z] Found chapter: 2
[2025-12-03T15:58:41.969Z] Found chapter: 3
[2025-12-03T15:58:41.970Z] Found chapter: 4
[2025-12-03T15:58:41.970Z] Found chapter: 5
[2025-12-03T15:58:41.970Z] Found chapter: 6
[2025-12-03T15:58:41.971Z] Found chapter: 7
[2025-12-03T15:58:41.971Z] Found chapter: 8
[2025-12-03T15:58:41.971Z] Found chapter: 9
[2025-12-03T15:58:41.972Z] Found chapter: 10
[2025-12-03T15:58:41.972Z] Found chapter: 11
[2025-12-03T15:58:41.972Z] Found chapter: 12
[2025-12-03T15:58:41.973Z] Found chapter: 13
[2025-12-03T15:58:41.973Z] Found chapter: 14
[2025-12-03T15:58:41.973Z] Found chapter: 15
[2025-12-03T15:58:41.973Z] Found chapter: 16
[2025-12-03T15:58:41.974Z] Found chapter: 17
[2025-12-03T15:58:41.974Z] Found chapter: 18
[2025-12-03T15:58:41.974Z] Found chapter: 19
[2025-12-03T15:58:41.975Z] Found chapter: 20
[2025-12-03T15:58:41.975Z] Found chapter: 21
[2025-12-03T15:58:41.976Z] Found chapter: 22
[2025-12-03T15:58:41.976Z] Found book: End of 1 KINGS
[2025-12-03T15:58:41.976Z] Found book: 2 KINGS
[2025-12-03T15:58:41.976Z] Found chapter: 1
[2025-12-03T15:58:41.977Z] Found chapter: 2
[2025-12-03T15:58:41.977Z] Found chapter: 3
[2025-12-03T15:58:41.977Z] Found chapter: 4
[2025-12-03T15:58:41.978Z] Found chapter: 5
[2025-12-03T15:58:41.978Z] Found chapter: 6
[2025-12-03T15:58:41.978Z] Found chapter: 7
[2025-12-03T15:58:41.979Z] Found chapter: 8
[2025-12-03T15:58:41.979Z] Found chapter: 9
[2025-12-03T15:58:41.979Z] Found chapter: 10
[2025-12-03T15:58:41.980Z] Found chapter: 11
[2025-12-03T15:58:41.980Z] Found chapter: 12
[2025-12-03T15:58:41.980Z] Found chapter: 13
[2025-12-03T15:58:41.981Z] Found chapter: 14
[2025-12-03T15:58:41.981Z] Found chapter: 15
[2025-12-03T15:58:41.981Z] Found chapter: 16
[2025-12-03T15:58:41.982Z] Found chapter: 17
[2025-12-03T15:58:41.982Z] Found chapter: 18
[2025-12-03T15:58:41.982Z] Found chapter: 19
[2025-12-03T15:58:41.983Z] Found chapter: 20
[2025-12-03T15:58:41.983Z] Found chapter: 21
[2025-12-03T15:58:41.983Z] Found chapter: 22
[2025-12-03T15:58:41.984Z] Found chapter: 23
[2025-12-03T15:58:41.984Z] Found chapter: 24
[2025-12-03T15:58:41.984Z] Found chapter: 25
[2025-12-03T15:58:41.985Z] Found book: nd of 2 KINGS
[2025-12-03T15:58:41.985Z] Found book: 1 CHRONICLES
[2025-12-03T15:58:41.985Z] Found chapter: 1
[2025-12-03T15:58:41.986Z] Found chapter: 2
[2025-12-03T15:58:41.986Z] Found chapter: 3
[2025-12-03T15:58:41.987Z] Found chapter: 4
[2025-12-03T15:58:41.987Z] Found chapter: 5
[2025-12-03T15:58:41.987Z] Found chapter: 6
[2025-12-03T15:58:41.988Z] Found chapter: 7
[2025-12-03T15:58:41.988Z] Found chapter: 8
[2025-12-03T15:58:41.988Z] Found chapter: 9
[2025-12-03T15:58:41.989Z] Found chapter: 10
[2025-12-03T15:58:41.989Z] Found chapter: 11
[2025-12-03T15:58:41.989Z] Found chapter: 12
[2025-12-03T15:58:41.990Z] Found chapter: 13
[2025-12-03T15:58:41.990Z] Found chapter: 14
[2025-12-03T15:58:41.990Z] Found chapter: 15
[2025-12-03T15:58:41.991Z] Found chapter: 16
[2025-12-03T15:58:41.991Z] Found chapter: 17
[2025-12-03T15:58:41.991Z] Found chapter: 18
[2025-12-03T15:58:41.992Z] Found chapter: 19
[2025-12-03T15:58:41.992Z] Found chapter: 20
[2025-12-03T15:58:41.993Z] Found chapter: 21
[2025-12-03T15:58:41.993Z] Found chapter: 22
[2025-12-03T15:58:41.993Z] Found chapter: 23
[2025-12-03T15:58:41.994Z] Found chapter: 24
[2025-12-03T15:58:41.994Z] Found chapter: 25
[2025-12-03T15:58:41.994Z] Found chapter: 26
[2025-12-03T15:58:41.994Z] Found chapter: 27
[2025-12-03T15:58:41.995Z] Found chapter: 28
[2025-12-03T15:58:41.995Z] Found chapter: 29
[2025-12-03T15:58:41.996Z] Found book: End of 1 CHRONICLES
[2025-12-03T15:58:41.996Z] Found book: 2 CHRONICLES
[2025-12-03T15:58:41.996Z] Found chapter: 1
[2025-12-03T15:58:41.997Z] Found chapter: 2
[2025-12-03T15:58:41.997Z] Found chapter: 3
[2025-12-03T15:58:41.998Z] Found chapter: 4
[2025-12-03T15:58:41.998Z] Found chapter: 5
[2025-12-03T15:58:41.998Z] Found chapter: 6
[2025-12-03T15:58:41.999Z] Found chapter: 7
[2025-12-03T15:58:41.999Z] Found chapter: 8
[2025-12-03T15:58:41.999Z] Found chapter: 9
[2025-12-03T15:58:42.000Z] Found chapter: 10
[2025-12-03T15:58:42.000Z] Found chapter: 11
[2025-12-03T15:58:42.000Z] Found chapter: 12
