[2025-12-03T16:00:03.154Z] Starting NASB1995 cleanup (v5)...
[2025-12-03T16:00:03.160Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T16:00:03.178Z] Starting Bible text cleanup...
[2025-12-03T16:00:03.179Z] Preprocessing content to join wrapped lines...
[2025-12-03T16:00:03.209Z] Found book: GENESIS
[2025-12-03T16:00:03.278Z] Found chapter: 6
[2025-12-03T16:00:03.278Z] Found chapter: 7
[2025-12-03T16:00:03.278Z] Found chapter: 8
[2025-12-03T16:00:03.278Z] Found chapter: 9
[2025-12-03T16:00:03.279Z] Found chapter: 10
[2025-12-03T16:00:03.279Z] Found chapter: 11
[2025-12-03T16:00:03.279Z] Found chapter: 12
[2025-12-03T16:00:03.280Z] Found chapter: 13
[2025-12-03T16:00:03.280Z] Found chapter: 14
[2025-12-03T16:00:03.280Z] Found chapter: 15
[2025-12-03T16:00:03.281Z] Found chapter: 16
[2025-12-03T16:00:03.281Z] Found chapter: 17
[2025-12-03T16:00:03.281Z] Found chapter: 18
[2025-12-03T16:00:03.282Z] Found chapter: 19
[2025-12-03T16:00:03.282Z] Found chapter: 20
[2025-12-03T16:00:03.282Z] Found chapter: 21
[2025-12-03T16:00:03.282Z] Found chapter: 22
[2025-12-03T16:00:03.283Z] Found chapter: 23
[2025-12-03T16:00:03.283Z] Found chapter: 24
[2025-12-03T16:00:03.283Z] Found book: End of JOSHUA
[2025-12-03T16:00:03.284Z] Found book: JUDGES
[2025-12-03T16:00:03.284Z] Found chapter: 1
[2025-12-03T16:00:03.284Z] Found chapter: 2
[2025-12-03T16:00:03.284Z] Found chapter: 3
[2025-12-03T16:00:03.285Z] Found chapter: 4
[2025-12-03T16:00:03.285Z] Found chapter: 5
[2025-12-03T16:00:03.285Z] Found chapter: 6
[2025-12-03T16:00:03.286Z] Found chapter: 7
[2025-12-03T16:00:03.286Z] Found chapter: 8
[2025-12-03T16:00:03.286Z] Found chapter: 9
[2025-12-03T16:00:03.287Z] Found chapter: 10
[2025-12-03T16:00:03.287Z] Found chapter: 11
[2025-12-03T16:00:03.287Z] Found chapter: 12
[2025-12-03T16:00:03.287Z] Found chapter: 13
[2025-12-03T16:00:03.288Z] Found chapter: 14
[2025-12-03T16:00:03.288Z] Found chapter: 15
[2025-12-03T16:00:03.288Z] Found chapter: 16
