  "2 CORINTHIANS": 1,
  "GALATIANS": 1,
  "EPHESIANS": 1,
  "PHILIPPIANS": 1,
  "COLOSSIANS": 1,
  "1 THESSALONIANS": 1,
  "2 THESSALONIANS": 1,
  "1 TIMOTHY": 1,
  "2 TIMOTHY": 1,
  "TITUS": 1,
  "PHILEMON": 2,
  "HEBREWS": 1,
  "1 PETER": 1,
  "2 PETER": 1,
  "1 JOHN": 1,
  "2 JOHN": 1,
  "3 JOHN": 1,
  "JUDE": 1,
  "REVELATION": 1
}
[2025-12-03T16:43:24.091Z] 
Chapter starts (first 10):
[
  [
    "GENESIS 1",
    6
  ],
  [
    "GENESIS 2",
    12
  ],
  [
    "GENESIS 3",
    10
  ],
  [
    "GENESIS 5",
    12
  ],
  [
    "GENESIS 6",
    20
  ],
  [
    "GENESIS 7",
    12
  ],
  [
    "GENESIS 9",
    21
  ],
  [
    "GENESIS 11",
    10
  ],
  [
    "GENESIS 12",
    19
  ],
  [
    "GENESIS 13",
    17
  ]
]
[2025-12-03T16:43:24.091Z] 
Verse patterns:
{}
[2025-12-03T16:43:24.091Z] 
Cleaning complete!
[2025-12-03T16:43:24.091Z] Output written to: C:\WindSurf\ohbc_website\scripts\NASB1995_cleaned.txt
